nota,material,metodo,rep,centroide,atk_time
A4,madeira,natural,rep3,5021.961700616538,0.1128798173969247
A4,madeira,natural,rep2,5091.258682339519,0.092448947422472
A4,madeira,natural,rep1,5144.1564898905945,0.1416100315073842
A4,madeira,natural,rep5,4985.094972119802,0.1540589452453013
A4,madeira,natural,rep4,5007.490913435385,0.12850343383725513
A4,madeira,bending,rep2,1852.400992476502,0.0339908618134301
A4,madeira,bending,rep3,1866.909251701901,0.04557824172989266
A4,madeira,bending,rep4,1823.6615630100036,0.04993200895911253
A4,madeira,bending,rep1,1849.7795013486761,0.055600879728385594
A4,madeira,bending,rep5,1882.8583294925652,0.03303849981311567
A4,plastico,bending,rep4,1803.6821860455452,0.07945578149179869
A4,plastico,bending,rep2,1811.444747718206,0.07149659503454651
A4,plastico,bending,rep3,1784.7150175290135,0.05424034318544816
A4,plastico,bending,rep1,1724.3469158002902,0.07294785938142692
A4,plastico,bending,rep5,1826.3593797222559,0.0419274560402896
A4,plastico,natural,rep4,4955.3206931138175,0.12154197076390498
A4,plastico,natural,rep1,4959.302586096168,0.0870521058810956
A4,plastico,natural,rep5,4752.296158161569,0.1238322311188729
A4,plastico,natural,rep3,4947.330596628687,0.09031747839249828
A4,plastico,natural,rep2,4860.818235651898,0.0936734737613416
F4,plastico,bending,rep5,2341.7367663503387,0.08390020784987808
F4,plastico,bending,rep3,2254.8441428916826,0.07047629814467582
F4,plastico,bending,rep4,2219.9729032239784,0.08088434099089793
F4,plastico,bending,rep2,1935.6906318000483,0.046213152585815986
F4,plastico,bending,rep1,2196.6210845416012,0.089591746833111
F4,plastico,natural,rep3,4775.844719951342,0.12562364299470744
F4,plastico,natural,rep1,4440.9367567169365,0.1214739146660972
F4,plastico,natural,rep4,4674.121707643254,0.14521538702774364
F4,plastico,natural,rep2,4575.511721583353,0.12804997443482286
F4,plastico,natural,rep5,4588.631052043037,0.12258494597401809
F4,madeira,bending,rep3,2192.2045497045756,0.04863941621132114
F4,madeira,bending,rep1,2537.544637122975,0.05301582537752858
F4,madeira,bending,rep2,3120.6257130606264,0.07258497939657976
F4,madeira,bending,rep4,2492.4194841218873,0.047936500648580196
F4,madeira,bending,rep5,2490.678325129201,0.04904759087886684
F4,madeira,natural,rep1,4114.034472939586,0.20859401509313952
F4,madeira,natural,rep5,3934.8123984715003,0.09390027401992079
F4,madeira,natural,rep2,3906.949631947383,0.17637187185479702
F4,madeira,natural,rep4,3934.6155238492806,0.1734467158111073
F4,madeira,natural,rep3,4078.0135939577794,0.2075510064071002
G4,plastico,natural,rep2,6273.76073368744,0.13501138066087795
G4,plastico,natural,rep3,6099.173702512996,0.1495011487762661
G4,plastico,natural,rep4,5998.320627946688,0.09208619667701759
G4,plastico,natural,rep1,6198.660329084562,0.13331067759589535
G4,plastico,natural,rep5,5989.920627380017,0.10344678142068982
G4,plastico,bending,rep2,1772.5160646420152,0.03560090034265547
G4,plastico,bending,rep3,1781.1275814211344,0.03063488028090939
G4,plastico,bending,rep1,1844.6568381569602,0.0405216161274322
G4,plastico,bending,rep5,1857.706903040755,0.030997756757940864
G4,plastico,bending,rep4,1898.5687985447896,0.033832191812655024
G4,madeira,bending,rep4,1878.996040860735,0.03714287174942891
G4,madeira,bending,rep1,1878.406945352167,0.03074836698769639
G4,madeira,bending,rep3,1801.6760157100007,0.04337871166739584
G4,madeira,bending,rep5,1888.41756594158,0.053446655305858654
G4,madeira,bending,rep2,1875.8524788537386,0.04834473447275287
G4,madeira,natural,rep4,6195.631198432967,0.18857146663343946
G4,madeira,natural,rep1,5911.495659302466,0.09569154899954811
G4,madeira,natural,rep3,6166.190118963068,0.174807246889634
G4,madeira,natural,rep2,6488.039130500483,0.20272112662146868
G4,madeira,natural,rep5,6115.169872763539,0.16006791128416922
E4,madeira,bending,rep3,1836.3433604138963,0.03995466620662591
E4,madeira,bending,rep5,1831.677604985191,0.049637193517742685
E4,madeira,bending,rep2,1827.5674725353601,0.039342340800416736
E4,madeira,bending,rep4,1820.1090720672903,0.04721093292465695
E4,madeira,bending,rep1,1859.0885042821415,0.0366892804203454
E4,madeira,natural,rep4,5827.073070297389,0.21353741072207444
E4,madeira,natural,rep3,5619.231108143435,0.15625852567166415
E4,madeira,natural,rep2,5488.708981541647,0.15387749051741784
E4,madeira,natural,rep1,5272.429376775568,0.10197281847997212
E4,madeira,natural,rep5,5652.656108332326,0.15492062946876392
E4,plastico,natural,rep3,5368.649376284454,0.08603179894832132
E4,plastico,natural,rep5,5459.509246176862,0.11419505232492014
E4,plastico,natural,rep2,5179.9948026852635,0.137482993601911
E4,plastico,natural,rep4,5239.132469664229,0.11106574873660768
E4,plastico,natural,rep1,5401.9641590229085,0.13553284467599333
E4,plastico,bending,rep1,1852.0090192724704,0.043174619089735376
E4,plastico,bending,rep3,1696.8165167507857,0.044739244728638085
E4,plastico,bending,rep2,1732.036348855703,0.0358502833714217
E4,plastico,bending,rep4,1769.532881303267,0.04074823971609671
E4,plastico,bending,rep5,2045.2711842756437,0.035306092536456016
